board,decision
     X  O,5
 X O OX  ,5
    X    ,7
OOXXO   X,6
XO  OXOXX,3
 XO      ,9
         ,7
        X,5
    O X  ,1
  X    O ,5
OXX OXOX ,9
 X  X XOO,3
X        ,4
OO XO X X,8
OXX OXOX ,4
         ,5
   X     ,7
         ,9
O O XX XO,2
X O  OX  ,4
OXO  XOX ,5
        X,3
         ,5
O       X,3
     X   ,1
  O  O XX,7
  OO  XX ,9
X XO X O ,2
XXOO XOXO,5
 O      X,5
    O X  ,8
O   X    ,8
 X       ,3
  X      ,9
X X  O O ,2
 XOOX XOX,6
     X   ,5
   X     ,1
 O X     ,1
     XO  ,5
      X  ,4
X O XOXO ,9
   XX O  ,6
  OOXO XX,1
  X    O ,4
  OX OOXX,5
X OO    X,5
X  XOX OO,7
OXX X OOX,4
 OXX OX O,1
     X   ,5
         ,5
 O  XXOX ,4
 X O XO  ,9
  X      ,9
  X  OXOX,5
 X XOXOO ,9
 X O  O X,1
  OOOXXX ,9
XX OXO  O,3
 OO X XX ,1
X        ,3
    X    ,3
 X       ,5
    X    ,2
O XO X   ,9
 O  XX   ,4
XOO XOXX ,9
O   X    ,7
XOOX     ,7
X   O    ,4
     O X ,5
       XO,3
  X    XO,5
X   XO O ,9
X  X O XO,3
 XXO  O X,1
    X    ,4
        X,5
OX   X   ,5
 OXOX    ,7
XO  XXOO ,9
 OX XO   ,7
    X    ,3
O X X OOX,6
O OX   X ,9
X        ,9
         ,7
O   XX O ,4
  OXOOXX ,1
XOXOX OXO,6
   X     ,1
         ,5
OOXO  X X,8
  OX XOX ,5
     X   ,4
OO  XXOX ,4
OXO  XO X,4
         ,1
 X    O X,1
OXXXXO OO,7
X X OXO  ,8
OXOXO XX ,9
   O  OXX,1
XX X  OO ,9
        X,1
 O O  X X,8
      X  ,3
 O  X O X,1
OX   O X ,5
OX XX   O,6
OXOX OXOX,5
   XO XO ,1
 O  XX   ,4
X        ,9
O XXO O X,6
OO X X  X,3
 X O X XO,5
XO X   O ,7
         ,5
XX OO OX ,3
X  OX    ,8
O  OXXXOX,3
 X OXXOO ,9
      O X,1
   XO    ,1
         ,3
XO O  X  ,5
