board,decision
    X OXO,2
   X     ,3
         ,4
         ,4
 O XOX XO,1
         ,5
X   XO   ,9
 XXOO    ,1
O OOXX XX,2
        X,2
  X O    ,7
         ,5
XOO  XX O,4
  X  OXO ,5
         ,8
XOXX O OX,5
  X O X  ,8
X X   OO ,2
    X   O,1
 OX     X,6
XO       ,6
XXOO X   ,5
         ,4
O XX  OXO,5
OXO XX   ,4
OOXOXO XX,7
      O X,5
    OO XX,7
  OX     ,2
         ,5
         ,7
XO      X,5
OXX   X O,5
      O X,4
 OXXOOOXX,1
    X    ,9
XOOO  XX ,9
       X ,7
         ,8
         ,1
  X  OX  ,5
OOXXOXX  ,8
OOXX OOXX,5
         ,5
         ,7
OXXX  OOX,6
  X  O   ,8
XX OXO   ,3
  OXX    ,6
  O O X X,8
X X O  O ,2
         ,6
XO OXXOXO,3
XO O XXO ,5
XX  O OX ,3
OXO OXXOX,4
X  OXXOO ,9
 O X     ,8
 X X  O  ,3
OOXX XO  ,5
  XXO    ,8
   X     ,7
    X    ,3
 X XOXOXO,1
 O X X XO,5
   O   XX,7
O OXXO  X,2
XOX XO  O,7
 XOXX O  ,6
 OXOXXOXO,1
  O   OXX,5
OXO   XOX,6
O  XXOOX ,2
     XO  ,8
       X ,6
    XO   ,2
O OO XXX ,9
X OO   XX,5
O XXX O O,6
XO  XO   ,9
XOO XX XO,4
         ,6
 XOX    O,6
X  X   O ,7
 O   X   ,9
   OXOXOX,1
X   OXO  ,3
 X XOOO X,3
 O     X ,7
     X   ,7
X  O   XO,2
XXO XX OO,7
         ,8
OXX  OX O,5
XXO  O X ,9
OOX  XXXO,5
XX XOO  O,3
   XXOXOO,1
O  XO XX ,9
XXO X XOO,6
O OOX XX ,2
O  XO OXX,3
O  O X XX,7
O X    OX,6
       X ,4
 X  X   O,8
OXX X O O,8
   OX OX ,2
OX    X  ,9
XX OX O O,3
 X     XO,5
X XOOX O ,2
XO  OX   ,8
OXX XX OO,7
         ,4
 O   OX X,8
O X O  X ,9
XOXX XOO ,5
       X ,5
   X     ,9
O  XX  XO,2
OXXO O X ,5
O X      ,7
X      XO,3
     OX  ,5
X O      ,8
 XX OOX O,1
  X  XO  ,9
 XO OXXXO,1
  O XXXOO,4
X XX O OO,2
         ,8
X  O    X,5
X X O    ,2
 XXOXOO X,1
OOXX  XXO,5
OO    XX ,9
     O X ,1
       X ,5
O O X  XX,2
 X XOXOOX,3
        X,1
 XXX OO O,1
 OXO XX  ,5
XO X XO  ,5
   OXOOXX,1
O     X  ,3
XX XOOOXO,3
       XO,5
         ,1
        X,2
 XXXO   O,1
OXXXOO  X,8
X        ,5
         ,3
X XOXOOX ,2
   X X O ,5
  X   O  ,1
XO     OX,5
 O     X ,6
OO XX XXO,3
 O    X  ,6
 X XO XO ,1
XOO OXX X,8
X  XO  OX,2
     XO  ,2
   X     ,9
    X    ,7
  OX  X  ,1
X  O O XX,5
 XO X    ,8
        X,7
OX X O   ,8
X        ,2
XO OX OX ,9
 OOXO XX ,1
 O      X,8
