board,decision
XO  OXOXX,3
         ,3
XO O  X  ,7
   X XO  ,5
XXOX   O ,7
X   X  OO,7
   O  X  ,5
       X ,5
OOXXOXOX ,9
 X      O,9
XXOOO  XX,6
X   OXX O,4
         ,9
 OXX OX O,1
XXOXOO X ,7
 X XOOXOX,1
         ,1
  O    XX,7
X        ,5
 XXOOXOXO,1
 XX OX O ,1
         ,3
      X  ,5
  OX OOXX,5
 XOXOXX O,1
XOX   O  ,5
O XO   XX,7
 OX  X   ,9
XX XOO  O,3
  XO OOXX,1
 X       ,5
XX OOXO  ,3
 XOX     ,1
      X  ,5
         ,5
X  O  X  ,5
   X   O ,3
O    X   ,7
 XO   XOX,9
   X     ,5
XXOOO X X,6
    XO   ,5
         ,3
 O XXOXO ,1
X   O    ,9
OX    XXO,5
OX X O XO,5
 O   X X ,7
         ,5
 OX  X O ,9
 O     X ,7
 OX X    ,7
XOX  X O ,5
O  O   XX,7
XOOX   X ,7
         ,3
X O X  O ,9
         ,7
XOOXXO   ,7
  X      ,5
OX  X XO ,3
 X       ,5
 OXX OXOX,5
  OO X XX,7
 OXXOOXXO,1
 O XX  O ,6
X O XX O ,4
XO  XXO O,4
 X       ,5
OX  O  XX,7
  O    XX,7
        X,5
XOOXOX  X,7
   X OX O,1
 O     X ,3
 X       ,5
 XO OOXX ,9
         ,1
OX OO  XX,7
         ,3
 X OX    ,8
X XO    O,2
      X  ,5
         ,1
  X  X O ,9
 OOX XXXO,1
 OXXX   O,6
XO XXOOXO,3
XO       ,9
 XXO OX  ,5
X O OX   ,7
         ,7
OX XO XO ,9
O   X  XO,2
     XO  ,9
       X ,5
  OOX X X,1
XOO O  XX,7
   O  X X,8
XOXOOXOX ,9
 OXO  X X,5
  X  X  O,9
 X   X O ,5
   XOO  X,3
         ,3
O X    X ,7
  XO X   ,9
  X      ,5
     O X ,3
  X      ,5
X O   OXX,5
XX  XOO  ,3
 XOX O X ,9
  OOOXXX ,9
 XOOO  XX,7
X O   O X,5
 XX    O ,1
 O X XOOX,3
O X      ,5
OX X  O  ,7
         ,9
 XX  OO  ,1
XX XOO XO,3
         ,5
      X  ,5
 XXO XO  ,1
         ,7
  O    X ,3
 X O     ,3
OO  XX XO,4
X XOX  OO,2
X        ,5
         ,3
OXOXX O  ,6
 OOXOXXX ,1
     X O ,3
   X     ,5
 XO      ,5
 XO  XXO ,7
   X XOXO,5
      OXX,7
  OO X X ,5
XO X XO O,5
  OOX  X ,2
XX OXXOO ,9
OX X X OO,5
X      O ,7
      OX ,5
         ,5
  O     X,9
O  OXXX O,3
OO  X XOX,3
         ,1
 X X XO O,8
O X   O X,6
   XX  OO,6
O XX X O ,5
X OXO  XO,7
OO  X  XX,3
         ,5
         ,5
     OX  ,7
X     X O,4
 OXXOOXX ,1
X XO  XO ,2
 O  XO  X,1
XOXOO X  ,6
OXOOXX   ,8
 OXX X  O,5
O XXOX   ,9
 X  OX OX,3
O  X     ,1
X O OXX  ,4
   X O X ,3
 OXO X X ,9
    X    ,5
OXOO  X X,8
         ,7
OX    X O,5
 X       ,5
 OOX XXXO,1
OO XOXOXX,3
X  O     ,1
XX     OO,3
 XX  O  O,1
         ,5
X OOO  XX,7
  X      ,5
 X      O,7
         ,3
        X,5
 OOXO X X,1
OXO  XOXX,4
 XOXXOO X,1
O X O  XX,6
 O  X OXX,1
OX  XOO X,8
    X O  ,5
OO  X XX ,3
    X    ,5
  X      ,5
      X  ,5
OX  XXXOO,3
  XO X O ,9
X XOXOO  ,2
     X O ,3
      X  ,5
OX       ,3
X     O  ,5
  X X OO ,9
X O  X  O,5
 XO  OX  ,9
XXO  O X ,9
 OXX  OXO,5
         ,5
     O X ,3
   XOOX  ,1
OX       ,1
 X O XOOX,3
XOXOOXX O,8
 OXXOXOXO,1
XXOX OOOX,5
O  XOOXX ,9
OX  XXO O,4
 XOX   O ,5
   X OXXO,3
     X O ,5
O   X OX ,2
         ,9
 O XOX  X,8
         ,7
  XOX OX ,1
         ,3
XO       ,5
 X  OX   ,1
XXOXXOOO ,9
OXXXOO OX,3
   OX    ,3
         ,7
  XXXOO O,8
 X      O,5
      O X,1
OO O X XX,3
 O X     ,1
  X      ,5
OO  X X  ,3
    X OXO,2
 OOXX OXX,1
   X  XO ,1
 XOX  O  ,5
OXX  OX  ,5
 X   O   ,7
XOX XX OO,7
OX     XO,5
O X      ,3
 XXO XO  ,1
  XOX   O,7
    X O  ,7
         ,5
OXX O    ,9
 O  X  OX,1
         ,7
OX OXOX  ,3
XOXXO   O,7
         ,9
         ,7
X O    X ,5
 X  O    ,5
        X,5
 OXX     ,7
XO X O  X,5
   X     ,5
         ,7
 X       ,5
  X   XOO,5
         ,9
XOX OOOXX,4
O     X  ,1
    X    ,5
      X O,7
  XO  O X,6
OOXXXOO X,8
OXOXOO XX,7
XX OOXO X,3
         ,1
X XOXO O ,2
OX X   O ,3
 XO   X  ,9
X  OXO   ,9
  OXO  XX,7
X OOXX  O,3
 X    OX ,5
X        ,5
 XXO X OO,1
     OX  ,7
 XXOO    ,1
XOOXX  XO,6
  X   XOO,5
         ,1
X        ,5
O  O   XX,7
  O OX X ,7
XOXOO X X,6
  XXO  O ,2
 X  OXX O,1
  X XXOO ,9
O  X XXO ,5
X  OX    ,9
  X    OX,6
      X  ,5
OXX X O  ,4
XXOOXXOO ,9
X OX     ,7
    X    ,5
 XX   OOX,1
   X    O,5
 O  XOX X,1
X     XOO,4
 OXO  XXO,5
X        ,5
    XX O ,4
XO     X ,5
XOO  XOXX,5
 X    O  ,5
OO X X   ,5
X     OOX,5
OXOX  OXX,5
         ,3
     XOX ,1
OX XXOX O,3
 XOO OXX ,5
OXX      ,5
 X XO O  ,3
         ,5
  X      ,5
    OXO X,3
 X       ,5
XO O  X  ,9
 X XXO O ,9
OO OXXXXO,3
   O X OX,3
 O  X XO ,3
   X O   ,5
OX X OXOX,1
XX  O    ,3
X O XO X ,9
   X X O ,5
X   OX O ,2
    OXX O,1
X  O OX  ,5
 OXO O XX,7
  X O    ,5
   XOXO X,3
         ,9
 XXOOX O ,1
 X     OX,3
OXOX OX  ,9
       X ,5
    X    ,5
 XO    X ,5
XOXX XOO ,5
     O  X,5
XOX   XOO,4
OXX  OXOX,5
         ,5
O  XX XOO,3
X     O  ,9
 O OXXX  ,3
X OX O  X,5
   X   O ,9
  XO XXO ,5
OO XX XO ,3
XO OX OX ,9
        X,5
X   OX O ,2
      X  ,5
 X  O XXO,1
   X XO  ,5
XOOX X   ,5
X O XO X ,9
         ,5
OOXOX   X,6
    X X O,3
XO  XO   ,9
X OXOO  X,7
O O X OXX,2
   XX O  ,6
 XXOX O O,1
   OXX   ,1
         ,7
 XO X OOX,1
OX O X   ,7
XXO   O X,5
X O OXXO ,4
XX OOX  O,3
         ,9
X   O    ,9
        X,5
  O    X ,7
XX  O OXO,3
 X   O   ,1
  XXO    ,7
   X O   ,3
X   XXO O,8
 X  O    ,5
O    X   ,9
O   X OX ,2
 OXO    X,6
    X    ,5
X        ,5
   O X X ,7
 X O     ,1
XX  O OOX,3
 X    O  ,1
         ,7
XO  OXX  ,8
   O  X X,8
         ,9
XX  OO   ,3
OXX   OX ,4
XOOX     ,7
  XOO   X,6
X XOOX   ,2
     X   ,5
  X  XO O,8
OX X XOO ,5
